id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Maria;Saraiva;Margarida.Batista75@live.com;repurpose withdrawal;2022-12-21T04:17:23;71697;45464
2;Cecília;Carvalho;Ladislau.Braga@gmail.com;withdrawal;2022-12-21T08:14:15;75289;21024
3;Yango;Oliveira;Alessandro.Franco@gmail.com;Prático;2022-12-20T17:17:39;71090;65309
4;Maitê;Xavier;Aline.Braga@bol.com.br;reinvent orchestrate;2022-12-20T12:47:16;52820;82484
5;Liz;Braga;Flix14@bol.com.br;mobile Granito;2022-12-21T07:25:10;13439;33970
6;Alice;Carvalho;Gustavo.Carvalho73@yahoo.com;Jamaica time-frame;2022-12-20T16:11:22;64329;13556
7;Emanuel;Santos;Liz72@live.com;Devolved rich;2022-12-20T18:41:30;54588;45928
8;Danilo;Albuquerque;Bryan8@hotmail.com;payment Distrito;2022-12-21T08:44:54;3244;21747
9;Mariana;Oliveira;Isis_Santos98@live.com;caramelo;2022-12-21T00:05:33;90189;81327
10;Alessandro;Saraiva;Calebe79@gmail.com;Mesa Acre Checking;2022-12-20T12:45:43;32637;8639
